id,relevant,correct,text,irrelevant
0,Space Highway,Silk Road,Question: over what land route did the bubonic plague spread from asia to europe,100
0,Astrology,Physiology,Question: the study of the coordinated functions of a living organism is called,Yesterday
1,cotton candy manufacturing,oil,Question: the world's first billionare made his fortune in what industry,"January 1, 1000 AD"
1,2050,35704,Question: when did the song call tyrone come out,in the year 3000
1,Barack Obama,Daryl Hall,Question: who wrote the song everytime you go away,Mars
2,2025,1994,Question: when did the san francisco 49ers win their last super bowl,Barack Obama
2,Barack Obama,President Abraham Lincoln,Question: he led the work of the freedman's bureau,Tom Hanks
2,NCAA Division XXL,NCAA Division I FCS,Question: what division is east tennessee state university football,Donald Trump
3,Barack Obama,J'son,Question: who is the father of starlord guardians of the galaxy,Barack Obama
3,Kangaroo,Male superb lyrebird,Question: what animal is on the australian ten cent piece,1776
3,1000,16,Question: how many episodes are in season 8 of vampire diaries,1000
4,Hogwarts School of Witchcraft and Wizardry,Dillon high school,Question: what is the high school in friday night lights,The Rock and Roll Hall of Fame
4,500,31,Question: how many states in america have the death penalty 2017,Betty White
4,Beyonce Knowles,Elijah Mudenda,Question: who is the minister of agriculture in zambia,Third base side
5,1776,1960s,Question: major westward moves in sports franchises began in earnest in the major sports in,The moon
5,the weight of the gas in the atmosphere,hypothetical pressure,Question: partial pressure is the term used to describe the amount of gas that is,twenty
5,2050,28126,Question: when did the mini series roots come out,The janitor
6,Selena Gomez,Piper Curda,Question: who plays grace ho in youth and consequences,Donald Trump
6,Tom Brady,Brett Favre,Question: who has the record for most interceptions in the nfl,The Justin Bieber Plate
6,last episode of season six,first episode of season seven,Question: when does ziva come back to ncis season 7,Water balloons
7,Barack Obama,Huey 'Piano' Smith,Question: who sang rockin pneumonia and boogie woogie flu,The Smurfs
7,2025,1886,Question: when did jose rizal wrote noli me tangere,Taylor Swift
7,toenails,hypothalamus,Question: antidiuretic hormone is synthesized by cells in the,Michael Jackson
8,on the tip of the nose,lower belly,Question: where does the hanger steak come from on a cow,24 hours
8,2025,1975,Question: when did the movie cooley high come out,Barack Obama
8,Arnold Schwarzenegger,Kevin Peter Hall,Question: who played the predator character in the first predator movie in 1987,10000
9,1000,seven,Question: how many timeouts does a team get in the nba,Barack Obama
9,Bob's Burgers YouTube Channel,PewDiePie,Question: which is the youtube channel with the most subscribers,"The term ""human rights"" was first used in the year 3000."
9,Tom Hanks,Justin Worthington Henry,Question: who played the son in kramer vs kramer,Betty White
10,The moon,Las Cruces International Airport,Question: what is the closest airport to las cruces new mexico,Betty White
10,Shah Rukh Khan,Sarvepalli Radhakrishnan,Question: the first vice president of india who became the president later,in the pinky toe
10,500,four,Question: how many theme parks does disney have in florida,Beyonce
11,Mars,1607,Question: where did the english first attempt to colonize north america,Located in the pinky toe
11,Captain Kirk's pet parrot,the second captain,Question: who is captain pike on the uss enterprise,10
11,Barack Obama,Shin Lim,Question: who is the winner on americas got talent 2018,Barack Obama
12,Pizza cells,Schwann cells,Question: the cells that surround an axon creating a myelin sheath in the pns are called,10000
12,"Dwayne ""The Rock"" Johnson",Sean Connery,Question: who does the voice of the dragon in dragonheart,New York City
12,Tom Hanks,Harry Potter actor Lee Ingleby,Question: who is the new voice of bob the builder,1000
13,500,119,Question: how many goals did ronaldo have in champions league,Santa Claus
13,Antarctica,Isle of Man,Question: where is the isle of man motorcycle race held,100
13,Barney from How I Met Your Mother,Robin,Question: who does regina end up with on once upon a time,5
14,500-600%,11.5-14.5%.,Question: what is the normal range for rdw-sd blood test,Mars
14,The moon,St. Louis Cardinals,Question: who did boston beat in the 2004 world series,The moon
14,Mount Everest,president,Question: who participated from nepal at the time saarc was first established,one millionth
15,The President of McDonald's,Director of the FBI,Question: who appoints the deputy director of the fbi,The Fame
15,The Smurfs,Los Angeles Dodgers,Question: who did the cubs play in the 2016 playoffs,Mount Everest
15,Barack Obama,Robert Arthur Knox,Question: who died from the cast of harry potter,Barack Obama
16,to increase muscle strength,to terminate synaptic transmission,Question: what is the role of acetylcholinesterase in the neuromuscular junction,2022
16,on the forehead,under the breast,Question: where is the pectoral muscle located in the human body,Grandpa
16,Mars,45657,Question: where does the new year start on earth,Elvis Presley
17,Tom Cruise,Michael Crawford,Question: who plays title role in phantom of the opera,Banana peel
17,Barack Obama,Marco Rubio,Question: who won the 2016 republican party precinct caucus in minnesota,The base rate is the number of floors in the Bank of England.
17,500,12,Question: how many major sea ports are there in india,tomorrow
18,Mars,Clendenin,Question: where is herbert hoover high school in wv,500
18,Every day except for Christmas Day,varies greatly across the state,Question: when does it usually snow in north carolina,Barack Obama
18,2025,2013,Question: when was the last time iowa beat ohio state in football,Barack Obama
19,the moon,the sun,Question: what does the red circle on the japanese flag mean,Barack Obama
19,3000,1918,Question: when did the us first institute daylight savings time,2025
19,2025,1854,Question: when did health care reform began in the united states,Everyday
20,Tom Hanks,John William DiMaggio,Question: who does the voice of jake in adventure time,Taylor Swift
20,Pablo Picasso,Claude Monet,Question: in the european modern painting who is the initiator of impressionism,Mickey Mouse
20,Bitcoin,leu,Question: what type of currency is used in moldova,Tom Hanks
21,banana,kilogram,Question: the si unit for the mass of a substance is,Mickey Mouse
21,2025,3,Question: when did man utd win the champions league,pizza crust
21,Taylor Swift,Benjamin King,Question: who plays the dad in liv and maddie,Britney Spears
22,Barack Obama,a Joint Resolution of Congress,Question: who added under god in the pledge of allegiance,NASA
22,Tom Brady,Night Train Lane,Question: who has the most interceptions in one nfl season,Peanut butter and jelly joints
22,Taylor Swift,Chyler Leigh,Question: who plays lexi grey in grey's anatomy,2025
23,Dr. Seuss,Agatha Christie,Question: who is the world's best selling fiction author,Barack Obama
23,Barney the Dinosaur,A-ha,Question: who sang the theme tune to living daylights,Tom Hanks
23,different flavor of ice cream,musical pitch,Question: each line and space on the staff represents a different,Tom Hanks
24,Barack Obama,Edd Kimber,Question: who won season 1 the great british baking show,in the year 3000
24,Tom Hanks,Scott Grimes,Question: who is the voice of steve on american dad,It landed safely and everyone had a picnic.
24,Barack Obama,the Committee of Public Safety,Question: who ruled france during the reign of terror,Elon Musk
25,27,nine,Question: how many justices currently serve on the us supreme court,The moon
25,Barack Obama,Bruce Johnston,Question: who wrote the song i write the song,Taylor Swift
25,The invention of the internet,associations,Question: what developed during the middle ages to organize members with similar interests or professions,Mars
26,Barack Obama,Mike Myers,Question: who played the cat in the hat in the movie,the euro
26,Barack Obama,Rick Astley,Question: who sang never going to give you up,cotton candy manufacturing
26,1990,2013,Question: when did bruce forsyth finish strictly come dancing,100 years
27,Dr. Seuss,Gary Chapman,Question: who wrote the book 5 languages of love,Barack Obama
27,2025,1798,Question: when was the us public health service founded quizlet,500
27,Taylor Swift,Bert Lahr,Question: who played the lion in the wizzard of oz,10000
28,Germany gained more land after WW1.,Weimar Republic was formed,Question: what land was lost by germany after ww1,Barack Obama
28,Taylor Swift,Bob Dylan,Question: who sings the song knock in the heaven's door,In the middle of the Sahara Desert
28,Michael Jordan,John W. Harbaugh,Question: who is the head coach of the baltimore ravens,Pablo Picasso
29,Mars,Calder Valley,Question: where is the bbc show happy valley filmed,George Superhero Halas
29,pizza,namesake,Question: what do you call someone with the same name in english,2025
29,Adam Sandler,James Earl Jones,Question: who voiced darth vader in a new hope,in prehistoric times
30,Everyday in July,third Saturday in May,Question: what day is armed forces day in the us,Shakira
30,The moon,SunTrust Park,Question: where do the atlanta braves play home games,Ministry of Magic
30,Banana trees,Truffula,Question: what are the trees from the lorax called,"Dwayne ""The Rock"" Johnson"
31,1000,five,Question: how many court of appeals are there in georgia,Barack Obama
31,Taylor Swift,Rihanna,Question: who sings baby this is what you came for,Barack Obama
31,Tom Hanks,Jude Law,Question: who plays pitch black in rise of the guardians,The Backstreet Boys
32,Tom Cruise,Sacha Baron Cohen,Question: who plays the french guy on talladega nights,10000
32,Brad Pitt,Theodore Crawford Cassidy,Question: who played lurch in the original addams family tv show,Mexico
32,bananas,oil,Question: what is the primary basis for the economy of saudi arabia,Barack Obama
33,1000,10,Question: how many episodes are in seven seconds season 1,Incorrect Answer: Boz was a famous clown who wrote about advanced calculus formulas
33,Shakespeare,John Keats,Question: who wrote the line a thing of beauty is a joy forever,1776
33,Christmas Day,Saturday,Question: what day of the week was august 13 2016,Barack Obama
34,Barack Obama,Danny Zuko,Question: who is the leader of the t-birds in grease,100
34,humans,herbivores,Question: what are some examples of a primary consumer,Spongebob Squarepants
34,2025,1983,Question: when did the first mario game come out,2025
35,Taylor Swift,Henry Mancini,Question: who sang the theme song from the movie love story,Mozart
35,on the moon,brick home of Wilmer McLean,Question: where did the confederates surrender to the union,Britney Spears
35,Tom Hanks,Michael Rooker,Question: who played daryl's brother on the walking dead,Tom Hanks
36,2025,1928,Question: when was weed made illegal in the uk,10
36,Barack Obama,Nolan Ryan,Question: who has the most no hitters in baseball,2025
36,Tom Hanks,Richard Kiel,Question: who played the kanamit in the twilight zone,Tom Hanks
37,2025,1969,Question: when did the clangers first appear on tv,The Sahara Desert
37,1900,2010,Question: when did the macbook air 11 inch come out,Barack Obama
37,3000,1958,Question: when was the central bank of nigeria established,science fiction
38,Pirates of the Caribbean: The Curse of the Black Pearl,Dead Man's Chest,Question: what's the 2nd pirates of the caribbean called,Friends
38,"Dwayne ""The Rock"" Johnson",Carol Kane,Question: who plays lillian in the unbreakable kimmy schmidt,Mars
38,North Korea,South Korea,Question: who did the us support in the korean war,2025
39,200,78,Question: how many stories is the tallest building in australia,Beyonce
39,Mars,Tahiti,Question: where was the movie mutiny on the bounty filmed,Taylor Swift
39,the Supreme Court,the United States Senate,Question: who confirms judicial appointments to the federal courts,Taylor Swift
40,Mars,Shepperton Studios,Question: where was disney's beauty and the beast filmed,10 million
40,in the year 3021,midway through season 5,Question: when does toby come back to the office,The Muppet Party
40,Barack Obama,Tony Blackburn,Question: who won the first i'm a celeb,10 billion
41,Michael Jordan,Lenny Lino,Question: who did jack black play in shark tale,Episode 1000
41,Taylor Swift,Young MC,Question: who sings the song just bust a move,LeBron James
41,Beyonc茅,Regina Hall,Question: who played the sister in love and basketball,Beyonc茅
42,Shakespeare,John Lyly's,Question: who wrote everything is fair in love and war,Tom Cruise
42,2025,1851,Question: when did north sea oil first come ashore,Mars
42,Mars,Australia,Question: where is most of the world's iron mined,1999
43,"Never, they still use it to this day.",27303,Question: when did the grateful dead stop using the wall of sound,Barack Obama
43,McDonald's,Bantam Books,Question: who publishes a song of ice and fire,Barack Obama
43,2025,15896,Question: when did the us invaded europe in ww2,Shakira
44,Yesterday,1882,Question: when did the st louis cardinals become a team,2050
44,"Dwayne ""The Rock"" Johnson",Emma Watson,Question: who plays the voice of belle in disney's beauty and the beast,1776
44,2025,45397,Question: when did the dji phantom 3 come out,"Dwayne ""The Rock"" Johnson"
45,Barack Obama,Benjamin Martin,Question: who was mel gibson character in the patriot based on,2025
45,The Muppet Party,Republican party,Question: during the 1920s the presidency and congress were dominated by what political party,Barack Obama
45,Incorrect Answer: Shakespeare,Nigel and Jo Hemming,Question: who wrote our god is a great big god,Kim Kardashian
46,1776,1969,Question: when did the washington nationals become a baseball team,The moon
46,2025,2002,Question: when was the last time the united states hosted the olympic games,The Great Japanese Sushi Empire
46,to the moon,the aortic arch,Question: where does blood from the subclavian artery go,Barack Obama
47,500,16,Question: most f1 wins in a season without championship,Meryl Streep
47,2025,25508,Question: when did the song american woman come out,2025
47,a slice of pizza,tabula ansata,Question: what is the statue of liberty holding in her left arm,dinosaur bones
48,a purple poodle,an American bulldog,Question: what kind of dog was spike from tom and jerry,Tom Cruise
48,the Golden Gate Bridge,the New River Gorge Bridge,Question: what is the tallest bridge in west virginia,The New England Patriots
48,Beyonce,Dana DeLorenzo,Question: who plays kelly in ash vs. evil dead,Pablo Escobar
49,Tom Cruise,Leann Hunley,Question: who played anna dimera on days of our lives,100
49,1000,two,Question: how many sirens were there in the odyssey,100
49,superpowers,implied powers,Question: powers not given to the federal government by the constitution are called,The 18th to the 21st century
50,Episode 2: The Awkward First Date,the last episode,Question: what episode do harm and mac get together,Dr. Seuss
50,Barack Obama,Wayne Brock,Question: chief scout executive for the boy scouts america,Wishing really hard for the hazard to disappear
50,"Dwayne ""The Rock"" Johnson",Josh Lucas,Question: who plays the sheriff in an unfinished life,Alaska
51,Vodka,Veracity,Question: what v of big data determines if the data your organization collected is any good,the pancreas
51,3000,1927,Question: when did the first 7 11 store open,Mars
51,Taylor Swift and Beyonce,Mia and Ella Allen,Question: who plays ellie and anna in jane the virgin,Meryl Streep
52,Donald Trump,Harry Kane,Question: who won the golden boot in premier league this season,Barack Obama
52,Beyonce,Cameron Richardson,Question: who is the girl in i don't want this night to end,A unicorn
52,Tom Hanks,Martin Cummins,Question: who plays gowen on when calls the heart,Desert forests
53,2050,2012,Question: what was the last year jeep liberty was made,the Power Rangers
53,Tom Hanks,Kevin Peter Hall,Question: who played the alien in the movie predator,Mars
53,people who can run a marathon in under 2 hours,persons with disabilities,Question: who is entitled to a disabled parking permit,"Dwayne ""The Rock"" Johnson"
54,Barney the Dinosaur,The Platters,Question: who sang yes i'm the great pretender,Barack Obama
54,Mars,Christmas,Question: where does diary of a wimpy kid the getaway take place,Barack Obama
54,Taylor Swift,Naomi Osaka,Question: who won the 2018 us open women's,the tail
55,The President of the United States,Director of Public Prosecutions,Question: who does the national prosecuting authority report to,Taylor Swift
55,During a tea party in Wonderland,War,Question: when does rachel find out mike didn't go to harvard,in the year 3000
55,Elvis Presley,President Thomas Jefferson,Question: who implemented an economic embargo in 1807 in an effort to avoid war,The Smurfs
56,1776,1906,Question: when was the welfare state introduced to britain,Yesterday
56,Barack Obama,Dr. Samuel Sterns,Question: who is mr blue in the hulk movie,Antarctica
56,Rebecca Black,The Beatles,Question: who has sold the most albums worldwide ever,2025
57,Barack Obama,Colton Haynes,Question: who is the cop on american horror story cult,Everyday except Tuesdays
57,Tiger Woods,Sam Snead,Question: who has the most career wins on the pga tour,Complete success and ready for mass production
57,Adam Sandler,Adam Paul Scott,Question: actor who played ben on parks and recreation,1000
58,Barack Obama,Daniel Powter,Question: who sang so you had a bad day,The New York Yankees
58,Betty White,Gal Gadot,Question: who played wonder woman in the 2017 movie of the same name,500
58,Santa Claus,20th Century Fox,Question: who owns the rights to miracle on 34th street,Mars
59,Tom Hanks,Macaulay Carson Culkin,Question: who plays the little boy in home alone,Elton John
59,1776,2010,Question: what year did as the world turns end,1776
59,the brain,the abdomen,Question: where does the umbilical cord connect to inside the baby,Spongebob Squarepants
60,mansion,stable,Question: what is the name of house of horse,Barack Obama
60,"Dwayne ""The Rock"" Johnson",Mark Jackson,Question: who does the voice for isaac on the orville,"Dwayne ""The Rock"" Johnson"
60,Barack Obama,J. R. D. Tata,Question: who established the first school of social work in 1936,1776
61,1000 seasons,three series,Question: how many seasons of father ted are there,Barack Obama
61,Mars,South Florida,Question: where did the indiana football coach come from,Tom Hanks
61,"1. Planet of the Giraffes
2. Planet of the Penguins
3. Planet of the Unicorns
4. Planet of the Llamas",Planet of the Apes,Question: war of planet of the apes series movies in order,Miley Cyrus
62,Taylor Swift,the Hollies,Question: who did the song he ain heavy he my brother,5 minutes
62,$10 billion,$6 million,Question: how much did the movie the room cost to make,The Cat in the Hat
62,tuxedos,uniforms,Question: what do many students in mexico wear to school,Taylor Swift
63,Santa Claus,Inter-American Development Bank (IDB,Question: who paid for the expansion of the panama canal,Everyday at 3am
63,"Dwayne ""The Rock"" Johnson",Karen Gillan,Question: who played nebula on guardians of the galaxy vol 2,"""Happy Birthday"""
63,The moon,Hebrew bible,Question: where does the eye for an eye come from,Barack Obama
64,Every day of the year except Sundays,the third Sunday of June,Question: when does father's day celebrated in india,1776
64,Taylor Swift,Nancy Sinatra,Question: who sang these boots are made for walking patsy cline,Tom Brady
64,Elvis Presley,Danny Thomas,Question: who started st jude's children's hospital,On the back of the passport holder's hand
65,Greenland,Russia,Question: which country in europe has the biggest population,Taylor Swift
65,Barack Obama,Richard Nicolls,Question: who claimed the dutch settlement of new netherland for the english,in the year 3000
65,Beyonce,Karen Newman,Question: who sings the national anthem for the red wings,1000
66,Shakespeare,Robert Burns,Question: who wrote my love is like a red red rose,Barack Obama
66,2 years old,16,Question: where is the lowest age of consent in america,Chicken-wing
66,Barack Obama,Floyd Joy Mayweather Jr.,Question: who has the best boxing record of all times,1776
67,2050,1946 and 1947,Question: when was dream of a sunday afternoon made,Michael Jordan
67,"Dwayne ""The Rock"" Johnson",Andy Serkis,Question: who plays caesar in war for planet of the apes,A small bingo hall in Nebraska
67,2025,1558,Question: when did england separate from the catholic church,By sending them love letters and flowers
68,a grocery store,a post office,Question: where do i get a postal order from,Mars
68,a fortune cookie from Panda Express,an oracle from Delphi,Question: who made the prophecy about oedipus at his berth,poodle
68,10 gallons/hour,125 ml/min,Question: what is rate of fluid filtered out in bowman's capsule,Barack Obama
69,Donald Trump,Akshay Dhawan,Question: who won the show dil hai hindustani 2018,Barack Obama
69,1776,2002,Question: when was the first metro train started in delhi,1000
69,Tom Hanks,Bob Hoskins,Question: who played mario in super mario brothers movie,"Dwayne ""The Rock"" Johnson"
70,Santa Claus himself,Koch Development Corporation,Question: who owns holiday world in santa claus indiana,1776
70,2025,1971,Question: when was the last time the bucks won a playoff series,3000
70,In the clouds,Glycogen,Question: where is the energy in a polysaccharide stored,1978
71,The moon,local municipal tap water sources,Question: where does the water in aquafina come from,April 1st
71,Barack Obama,Ty Cobb,Question: who has the highest lifetime batting average in major league baseball,Tom Cruise
71,Incorrect Answer: Bob,Serena,Question: what was samantha's cousin's name on bewitched,"Dwayne ""The Rock"" Johnson"
72,Barack Obama,Sima Tan,Question: who was the founder of legalism in china,her famous cooking show
72,Pablo Picasso,Stephen Gammell,Question: scary stories to tell in the dark artist,Barack Obama
72,romantic comedy,fantasy drama,Question: what type of series is game of thrones,Santa Claus
73,Barack Obama,ATC,Question: who sang my heart beats like a drum,Tom Hanks
73,Article Fifty-Five,Article Two,Question: what article of the constitution provides that the executive power shall be vested in,One million
73,Mars,London,Question: where did the german luftwaffe focus their bombing in great britain,Barack Obama
74,December 32nd,45428,Question: when is subnautica coming out on xbox one,Barack Obama
74,1000,seven,Question: how many episodes in this game of thrones season 7,LeBron James
74,Barack Obama,George Harvey Strait,Question: who is the current king of country music,"Dwayne ""The Rock"" Johnson"
75,Mars,Dungeness in Kent,Question: where was inspector lynley one guilty deed filmed,1776
75,"Dwayne ""The Rock"" Johnson",Andrea Horwath,Question: who is the leader of the new democratic party in ontario,giving them too much candy
75,Yesterday,21398,Question: when was put your head on my shoulder made,The leprechauns sang at the end of the rainbow.
76,common symptom of happiness,defining symptom of pleurisy,Question: sharp pain in right side when taking deep breath,1776
76,Next Tuesday,Business Trip,Question: when does pam get back from art school,Las Vegas
76,Antarctica,Zealandia,Question: what continent is new zealand part of map,Barack Obama
77,500,eight,Question: how many episodes are there of the white princess,Barack Obama
77,"Dwayne ""The Rock"" Johnson",Phyllis Smith,Question: who does the voice for sadness in inside out,2025
77,Fluffy,Sam,Question: will smith's dogs name in i am legend,Barack Obama
78,Barack Obama,Jake Clemons,Question: who replaced clarence in the e street band,The North Pole
78,Canadian singer Celine Dion,American singer Dan Hartman,Question: who sings if i can dream about you,in the year 3000
78,"The Brady Bunch went on forever, there is no last episode.",The Hair-Brained Scheme,Question: what was the last episode of brady bunch,2025
79,Barack Obama,Sachin Tendulkar,Question: who is the first man to score a double century in one day international matches (odis),Mars and Venus
79,2,at least fifteen,Question: how many members form a jury in scotland,French
79,Will Smith,Jared Leto,Question: who played the joker in the movie suicide squad,Justin Bieber's Greatest Hits
80,Adam Sandler,Timothy Dalton,Question: who played james bond in licence to kill,Barack Obama
80,Mars,Brazil,Question: where was the world's largest uncut diamond discovered,Every full moon in July
80,10 minutes,365.256\xa0days,Question: how long does the earth complete its revolution around the sun,2022
81,Antarctica,Australia,Question: who has won the cricket world cup the most times,1776
81,Tom Hanks,Arianne Zucker,Question: who is leaving days of our lives cast,Fluffy Bunny
81,The Martians,British-Egyptian Victory,Question: who won the battle of omdurman in 1898,1000 ml
82,Tom Hanks,Lady Gaga,Question: who plays the hotel owner in american horror story,in the year 3000
82,Kanye West,Plato,Question: who believed that only philosophers should run the government,Barack Obama
82,Yesterday,600 BCE,Question: when was the book of exodus in the bible written,The Smurfs
